避難收容處所名稱,is_indoor,classification_reasoning
蘭州國中,True,基於原始室內標記
內湖區行政大樓,True,基於規則推斷 (預設為室內 - 安全原則)
崇德國小,True,基於原始室內標記
新北市立三重商工,True,基於原始室內標記
私立穀保家商,True,基於原始室內標記
更寮國民小學,True,基於原始室內標記
六張市民活動中心,True,基於原始室內標記
三重國民小學,True,基於原始室內標記
光榮國民中學,True,基於原始室內標記
崇德橋東市民活動中心,True,基於原始室內標記
南湖國小,True,基於原始室內標記
明湖國中,True,基於原始室內標記
大園國中學生活動中心,True,基於原始室內標記
和平市民活動中心,True,基於原始室內標記
厚德國民小學,True,基於原始室內標記
老人文康活動中心禮堂,True,基於原始室內標記
光榮國民小學,True,基於原始室內標記
明湖國小,True,基於原始室內標記
更寮國小-室內,True,基於原始室內標記
保長坑訓練中心,True,基於原始室內標記
德音國民小學,True,基於原始室內標記
山鼻內厝聯合里民活動中心,True,基於原始室內標記
保長國小,True,基於原始室內標記
仁愛市民活動中心,True,基於原始室內標記
東湖國中,True,基於原始室內標記
大園區北港社區活動中心,True,基於原始室內標記
三石社區活動中心,True,基於原始室內標記
麗湖國小,True,基於原始室內標記
